#lt    20.0
#count pbc
#dt    1.0
#dn    20
#edges  -26.59875 -26.066775 -25.5348 -25.002825 -24.47085 -23.938875 -23.4069 -22.874925 -22.34295 -21.810975 -21.279 -20.747025 -20.21505 -19.683075 -19.1511 -18.619125 -18.08715 -17.555175 -17.0232 -16.491225 -15.95925 -15.427275 -14.8953 -14.363325 -13.83135 -13.299375 -12.7674 -12.235425 -11.70345 -11.171475 -10.6395 -10.107525 -9.57555 -9.043575 -8.5116 -7.979625 -7.44765 -6.915675 -6.3837 -5.851725 -5.31975 -4.787775 -4.2558 -3.723825 -3.19185 -2.659875 -2.1279 -1.595925 -1.06395 -0.531975 -3.90798504668e-14 0.531975 1.06395 1.595925 2.1279 2.659875 3.19185 3.723825 4.2558 4.787775 5.31975 5.851725 6.3837 6.915675 7.44765 7.979625 8.5116 9.043575 9.57555 10.107525 10.6395 11.171475 11.70345 12.235425 12.7674 13.299375 13.83135 14.363325 14.8953 15.427275 15.95925 16.491225 17.0232 17.555175 18.08715 18.619125 19.1511 19.683075 20.21505 20.747025 21.279 21.810975 22.34295 22.874925 23.4069 23.938875 24.47085 25.002825 25.5348 26.066775 26.59875
100 127 150 168 174 192 224 237 259 277 281 276 243 279 257 287 197 241 216 180 158 156 127 113 109 103 84 80 54 38 39 19 18 13 13 10 10 5 2 4 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 3 3 0 1 6 3 7 6 7 9 18 25 19 19 24 37 58 69 96
86 103 142 145 164 192 207 234 278 270 280 279 292 300 279 258 255 264 243 233 192 175 162 143 111 142 98 68 66 45 46 29 24 16 12 13 7 6 7 5 4 2 2 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 2 2 4 6 8 7 10 11 11 13 18 27 27 36 49 59 90
83 98 110 115 144 148 212 232 224 256 256 265 275 306 300 281 294 275 272 230 244 214 201 167 148 126 117 81 78 57 44 27 28 15 23 15 9 6 9 5 4 3 2 4 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 1 2 5 3 1 5 3 6 7 11 15 21 17 17 26 40 42 73
54 83 95 109 117 165 175 202 201 262 245 264 291 303 277 284 302 282 289 246 284 270 236 202 172 150 147 105 81 63 51 55 42 18 19 16 14 14 12 9 8 5 5 5 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 1 0 1 1 3 4 4 11 7 7 16 21 22 13 30 45 48
44 64 86 93 88 144 145 192 198 204 234 243 271 275 305 300 291 283 328 338 331 270 244 243 238 173 152 132 116 101 74 60 41 39 34 21 25 14 18 16 11 10 5 4 2 3 0 3 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 1 0 1 4 4 3 8 9 6 12 12 18 12 19 32 36
36 45 65 88 92 97 125 150 170 192 210 231 290 306 303 311 341 325 329 341 289 303 291 265 244 224 186 170 139 94 81 86 55 60 35 28 27 16 27 20 12 7 8 5 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 3 1 2 1 6 3 6 8 10 7 10 24 26 19 33
37 54 50 63 79 95 129 131 162 177 207 237 247 262 270 348 330 345 347 358 364 358 353 299 308 255 247 203 180 146 120 95 68 64 57 32 31 35 24 14 21 9 7 7 3 3 2 5 1 0 0 1 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 1 1 1 3 2 2 4 8 5 6 7 12 10 17 15 26
25 37 60 67 90 103 92 115 131 180 183 206 237 261 248 353 316 367 384 409 396 430 403 423 373 349 295 239 191 196 161 115 99 94 72 62 53 51 28 31 17 9 12 11 5 2 4 6 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 0 0 1 1 3 0 3 2 4 5 9 12 13 14 24 25
35 33 38 56 63 73 103 100 137 151 174 216 236 232 254 292 340 323 395 415 414 409 475 454 412 404 408 387 320 261 243 146 186 110 106 93 76 64 49 46 37 21 9 11 8 4 8 5 1 5 2 5 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 5 0 0 1 8 5 6 11 7 10 30
22 36 41 61 43 63 79 99 126 121 153 188 180 198 260 300 329 359 377 442 462 498 535 586 552 540 502 453 375 360 274 238 215 171 128 133 96 81 67 46 35 35 25 15 20 13 7 4 2 7 3 3 3 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 2 1 3 3 4 1 4 9 9 15 11 11
